EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
820,2457415.5,42192,4728.11801,3414.44966,4291.19961,-5.56812,3.12187,3.92001,7383.78395,0.02878,0.8985,6.2829,0.00585,0.81083,0.85359,0,68.4,-15.4,36.6,93.2,1,0,1
840,2457415.5,42212,4615.77189,3476.16672,4368.69216,-5.66607,3.04964,3.829,7383.54865,0.02876,0.89849,6.28289,0.00499,0.8316,0.87515,0,67.1,-15.8,37.3,94.2,1,0,1
860,2457415.5,42232,4501.49181,3536.42734,4444.34967,-5.76151,2.97623,3.73651,7383.31645,0.02874,0.89848,6.28287,0.00409,0.8524,0.89671,0,65.9,-16.3,38.1,95.3,1,0,1
880,2457415.5,42252,4385.32836,3595.2084,4518.14305,-5.85441,2.90169,3.64259,7383.08781,0.02873,0.89847,6.28285,0.00318,0.87322,0.91828,0,64.7,-16.7,38.8,96.4,1,0,1
900,2457415.5,42272,4267.33278,3652.48749,4590.0441,-5.94472,2.82604,3.54729,7382.86315,0.02871,0.89845,6.28283,0.00225,0.89406,0.93984,0,63.5,-17.1,39.5,97.6,1,0,1
920,2457415.5,42292,4147.55701,3708.24293,4660.02554,-6.03242,2.74933,3.45064,7382.64285,0.0287,0.89844,6.28281,0.0013,0.91491,0.9614,0,62.4,-17.6,40.2,98.7,1,0,1
940,2457415.5,42312,4026.05359,3762.45377,4728.06103,-6.11748,2.67159,3.3527,7382.42731,0.02869,0.89843,6.28278,0.00035,0.93578,0.98295,0,61.3,-18.1,40.9,99.9,1,0,1
960,2457415.5,42332,3902.87565,3815.0998,4794.12513,-6.19987,2.59285,3.25351,7382.21688,0.02868,0.89842,6.28276,6.28257,0.95664,1.00449,0,60.2,-18.5,41.5,101.1,1,0,1
980,2457415.5,42352,3778.07691,3866.16155,4858.19338,-6.27956,2.51317,3.15312,7382.01189,0.02867,0.89841,6.28274,6.2816,0.97751,1.02601,0,59.2,-19,42.2,102.4,1,0,1
1000,2457415.5,42372,3651.71161,3915.62029,4920.24222,-6.35652,2.43256,3.05158,7381.81264,0.02867,0.8984,6.28271,6.28064,0.99838,1.04751,0,58.1,-19.5,42.8,103.6,1,0,1
1020,2457415.5,42392,3523.8345,3963.45807,4980.24906,-6.43073,2.35107,2.94893,7381.61942,0.02866,0.89839,6.28269,6.27968,1.01924,1.06898,0,57.1,-19.9,43.4,104.9,1,0,1
1040,2457415.5,42412,3394.50084,4009.65765,5038.19227,-6.50217,2.26875,2.84522,7381.43249,0.02866,0.89838,6.28267,6.27873,1.0401,1.09042,0,56.1,-20.4,44,106.2,1,0,1
1060,2457415.5,42432,3263.76629,4054.20259,5094.05117,-6.57082,2.18562,2.7405,7381.25211,0.02866,0.89837,6.28264,6.27779,1.06094,1.11183,0,55.1,-20.9,44.6,107.5,1,0,1
1080,2457415.5,42452,3131.68699,4097.0772,5147.80605,-6.63664,2.10172,2.63483,7381.0785,0.02866,0.89836,6.28262,6.27687,1.08176,1.13321,0,54.2,-21.4,45.2,108.9,1,0,1
1100,2457415.5,42472,2998.31942,4138.26654,5199.43814,-6.69964,2.0171,2.52823,7380.91188,0.02866,0.89835,6.28259,6.27597,1.10257,1.15454,0,53.3,-21.9,45.7,110.3,1,0,1
1120,2457415.5,42492,2863.72047,4177.75645,5248.92966,-6.75978,1.93178,2.42078,7380.75246,0.02867,0.89834,6.28256,6.27509,1.12335,1.17583,0,52.4,-22.4,46.2,111.7,1,0,1
1140,2457415.5,42512,2727.94734,4215.53353,5296.26379,-6.81705,1.84582,2.3125,7380.60041,0.02867,0.89833,6.28254,6.27423,1.1441,1.19707,0,51.5,-22.9,46.7,113.1,1,0,1
1160,2457415.5,42532,2591.05755,4251.58517,5341.4247,-6.87144,1.75924,2.20346,7380.45592,0.02868,0.89832,6.28251,6.27341,1.16483,1.21826,0,50.6,-23.4,47.2,114.6,1,0,1
1180,2457415.5,42552,2453.1089,4285.89949,5384.3975,-6.92294,1.6721,2.0937,7380.31914,0.02869,0.89831,6.28248,6.27261,1.18553,1.23939,0,49.7,-23.9,47.7,116.1,1,0,1
1200,2457415.5,42572,2314.15944,4318.46542,5425.1683,-6.97152,1.58441,1.98327,7380.1902,0.0287,0.8983,6.28245,6.27185,1.20619,1.26047,0,48.9,-24.4,48.1,117.6,1,0,1
1220,2457415.5,42592,2174.26743,4349.27264,5463.72415,-7.01719,1.49623,1.87222,7380.06924,0.02871,0.8983,6.28243,6.27113,1.22681,1.28149,0,48.1,-24.9,48.5,119.2,1,0,1
1240,2457415.5,42612,2033.49137,4378.31159,5500.05311,-7.05993,1.40759,1.76059,7379.95636,0.02872,0.89829,6.2824,6.27044,1.24739,1.30245,0,47.3,-25.4,48.9,120.7,1,0,1
1260,2457415.5,42632,1891.88988,4405.57351,5534.14418,-7.09973,1.31853,1.64844,7379.85166,0.02873,0.89828,6.28237,6.2698,1.26794,1.32335,0,46.5,-25.9,49.3,122.3,1,0,1
1280,2457415.5,42652,1749.52175,4431.05036,5565.98735,-7.13659,1.22909,1.53581,7379.75524,0.02875,0.89828,6.28234,6.2692,1.28844,1.34418,0,45.7,-26.4,49.6,123.9,1,0,1
1300,2457415.5,42672,1606.44589,4454.73491,5595.57355,-7.1705,1.13931,1.42275,7379.66716,0.02876,0.89827,6.28231,6.26864,1.30889,1.36494,0,45,-26.9,50,125.6,1,0,1
1320,2457415.5,42692,1462.72129,4476.62067,5622.89469,-7.20146,1.04922,1.30931,7379.58749,0.02878,0.89827,6.28228,6.26814,1.3293,1.38564,0,44.2,-27.4,50.2,127.2,1,0,1
1340,2457415.5,42712,1318.407,4496.70192,5647.94364,-7.22947,0.95886,1.19554,7379.51628,0.02879,0.89826,6.28225,6.26768,1.34966,1.40626,0,43.5,-27.9,50.5,128.9,1,0,1
1360,2457415.5,42732,1173.56212,4514.97368,5670.71423,-7.25452,0.86828,1.08148,7379.45358,0.02881,0.89826,6.28222,6.26726,1.36997,1.42681,0,42.7,-28.4,50.7,130.6,1,0,1
1380,2457415.5,42752,1028.24575,4531.43175,5691.20123,-7.27662,0.7775,0.96719,7379.39942,0.02883,0.89826,6.28219,6.2669,1.39023,1.44728,0,42,-28.9,51,132.3,1,0,1
1400,2457415.5,42772,882.51699,4546.07267,5709.40038,-7.29576,0.68657,0.8527,7379.35382,0.02885,0.89825,6.28216,6.2666,1.41043,1.46769,0,41.3,-29.4,51.1,134,1,0,1
1420,2457415.5,42792,736.4349,4558.89372,5725.30833,-7.31195,0.59552,0.73807,7379.31679,0.02887,0.89825,6.28213,6.26634,1.43059,1.48801,0,40.6,-29.9,51.3,135.7,1,0,1
1440,2457415.5,42812,590.05846,4569.89295,5738.9227,-7.3252,0.50439,0.62335,7379.28834,0.02889,0.89825,6.2821,6.26614,1.45069,1.50826,0,40,-30.4,51.4,137.5,1,0,1
1460,2457415.5,42832,443.44659,4579.06911,5750.24203,-7.3355,0.41322,0.50858,7379.26845,0.02891,0.89825,6.28207,6.26599,1.47074,1.52844,0,39.3,-30.9,51.5,139.2,1,0,1
1480,2457415.5,42852,296.65809,4586.42171,5759.26579,-7.34286,0.32204,0.3938,7379.25712,0.02893,0.89825,6.28204,6.26589,1.49073,1.54853,0,38.6,-31.5,51.6,141,1,0,1
1500,2457415.5,42872,149.75162,4591.951,5765.99437,-7.3473,0.23089,0.27907,7379.25432,0.02895,0.89825,6.28201,6.26585,1.51067,1.56855,0,38,-32,51.6,142.7,1,0,1
1520,2457415.5,42892,2.78568,4595.65793,5770.42907,-7.34881,0.13981,0.16442,7379.25999,0.02897,0.89825,6.28198,6.26586,1.53056,1.5885,0,37.3,-32.5,51.6,144.5,1,0,1
1540,2457415.5,42912,-144.18139,4597.54418,5772.5721,-7.34741,0.04883,0.04991,7379.2741,0.02899,0.89825,6.28195,6.26592,1.5504,1.60837,0,36.7,-33,51.6,146.2,1,0,1
1560,2457415.5,42932,-291.09146,4597.61215,5772.42658,-7.34311,-0.04201,-0.06443,7379.29655,0.02901,0.89825,6.28192,6.26604,1.57018,1.62816,0,36.1,-33.5,51.6,147.9,1,0,1
1580,2457415.5,42952,-437.88662,4595.86494,5769.99651,-7.33592,-0.13268,-0.17854,7379.32726,0.02903,0.89825,6.28189,6.26621,1.58991,1.64788,0,35.4,-34,51.5,149.7,1,0,1
1600,2457415.5,42972,-584.50922,4592.30635,5765.28678,-7.32586,-0.22314,-0.29239,7379.36611,0.02904,0.89825,6.28186,6.26642,1.60959,1.66752,0,34.8,-34.5,51.4,151.4,1,0,1
1620,2457415.5,42992,-730.90186,4586.94089,5758.30317,-7.31293,-0.31336,-0.40592,7379.413,0.02906,0.89825,6.28183,6.26669,1.62922,1.68709,0,34.2,-35,51.3,153.1,1,0,1
1640,2457415.5,43012,-877.00743,4579.77374,5749.05229,-7.29715,-0.4033,-0.5191,7379.46779,0.02908,0.89825,6.2818,6.26701,1.6488,1.70659,0,33.6,-35.6,51.1,154.8,1,0,1
1660,2457415.5,43032,-1022.76912,4570.81077,5737.54166,-7.27854,-0.49294,-0.63189,7379.53037,0.0291,0.89826,6.28177,6.26738,1.66833,1.72602,0,33,-36.1,50.9,156.5,1,0,1
1680,2457415.5,43052,-1168.13045,4560.05853,5723.77961,-7.25712,-0.58223,-0.74424,7379.6006,0.02912,0.89826,6.28174,6.26779,1.68782,1.74538,0,32.4,-36.6,50.7,158.2,1,0,1
1700,2457415.5,43072,-1313.03529,4547.52423,5707.77535,-7.2329,-0.67114,-0.85611,7379.67837,0.02913,0.89826,6.28171,6.26825,1.70726,1.76467,0,31.8,-37.1,50.5,159.8,1,0,1
1720,2457415.5,43092,-1457.42787,4533.21577,5689.53889,-7.2059,-0.75964,-0.96745,7379.76354,0.02915,0.89827,6.28168,6.26875,1.72666,1.7839,0,31.3,-37.6,50.2,161.5,1,0,1
1740,2457415.5,43112,-1601.2528,4517.14165,5669.08109,-7.17614,-0.8477,-1.07823,7379.85596,0.02916,0.89827,6.28166,6.26929,1.74602,1.80306,0,30.7,-38.1,49.9,163.1,1,0,1
1760,2457415.5,43132,-1744.4551,4499.31106,5646.4136,-7.14364,-0.93528,-1.18841,7379.95547,0.02918,0.89828,6.28163,6.26987,1.76534,1.82216,0,30.1,-38.6,49.6,164.7,1,0,1
1780,2457415.5,43152,-1886.98021,4479.73383,5621.5489,-7.10842,-1.02236,-1.29795,7380.06189,0.02919,0.89828,6.2816,6.27049,1.78462,1.8412,0,29.5,-39.1,49.3,166.2,1,0,1
1800,2457415.5,43172,-2028.77398,4458.42038,5594.50024,-7.07051,-1.1089,-1.4068,7380.17505,0.0292,0.89829,6.28157,6.27114,1.80386,1.86019,0,29,-39.7,48.9,167.8,1,0,1
1820,2457415.5,43192,-2169.78275,4435.38179,5565.28168,-7.02992,-1.19487,-1.51493,7380.29473,0.02921,0.8983,6.28155,6.27183,1.82308,1.87912,0,28.4,-40.2,48.5,169.3,1,0,1
1840,2457415.5,43212,-2309.95331,4410.62975,5533.90803,-6.98669,-1.28024,-1.6223,7380.42072,0.02922,0.8983,6.28152,6.27254,1.84226,1.898,0,27.8,-40.7,48.1,170.8,1,0,1
1860,2457415.5,43232,-2449.23293,4384.17654,5500.39488,-6.94084,-1.36498,-1.72888,7380.55279,0.02923,0.89831,6.28149,6.27329,1.86142,1.91682,0,27.3,-41.2,47.7,172.2,1,0,1
1880,2457415.5,43252,-2587.56941,4356.03504,5464.75858,-6.89238,-1.44906,-1.83461,7380.69071,0.02924,0.89832,6.28147,6.27406,1.88055,1.9356,0,26.7,-41.7,47.3,173.7,1,0,1
1900,2457415.5,43272,-2724.91103,4326.21875,5427.01619,-6.84135,-1.53245,-1.93948,7380.83422,0.02925,0.89832,6.28144,6.27485,1.89965,1.95434,0,26.2,-42.2,46.8,175.1,1,0,1
1920,2457415.5,43292,-2861.20663,4294.74171,5387.18554,-6.78778,-1.61513,-2.04343,7380.98307,0.02925,0.89833,6.28142,6.27567,1.91874,1.97304,0,25.6,-42.7,46.3,176.5,1,0,1
1940,2457415.5,43312,-2996.40558,4261.61855,5345.28516,-6.73169,-1.69706,-2.14644,7381.13699,0.02926,0.89834,6.28139,6.2765,1.93781,1.99169,0,25.1,-43.2,45.8,177.8,1,0,1
1960,2457415.5,43332,-3130.45783,4226.86448,5301.3343,-6.67312,-1.77822,-2.24848,7381.2957,0.02926,0.89835,6.28137,6.27735,1.95686,2.01031,0,24.5,-43.7,45.3,179.1,1,0,1
1980,2457415.5,43352,-3263.31388,4190.49524,5255.3529,-6.61208,-1.85857,-2.34949,7381.45893,0.02926,0.89836,6.28134,6.27821,1.97591,2.0289,0,24,-44.2,44.8,-179.6,1,0,1
2000,2457415.5,43372,-3394.92484,4152.52713,5207.3616,-6.54861,-1.9381,-2.44946,7381.6264,0.02926,0.89837,6.28132,6.27908,1.99494,2.04746,0,23.4,-44.8,44.3,-178.3,1,0,1
2020,2457415.5,43392,-3525.24242,4112.97699,5157.38171,-6.48275,-2.01677,-2.54835,7381.79783,0.02926,0.89838,6.2813,6.27995,2.01397,2.06599,0,22.9,-45.3,43.7,-177,1,0,1
2040,2457415.5,43412,-3654.21893,4071.86218,5105.43521,-6.41451,-2.09456,-2.64612,7381.97292,0.02926,0.89838,6.28128,6.28083,2.03299,2.0845,0,22.4,-45.8,43.1,-175.8,1,0,1
2060,2457415.5,43432,-3781.80732,4029.20058,5051.54472,-6.34394,-2.17144,-2.74274,7382.15141,0.02925,0.89839,6.28125,6.28171,2.05202,2.10299,0,21.8,-46.3,42.5,-174.6,1,0,1
2080,2457415.5,43452,-3907.96118,3985.0106,4995.73353,-6.27106,-2.2474,-2.83818,7382.333,0.02925,0.8984,6.28123,6.28259,2.07104,2.12146,0,21.3,-46.8,41.9,-173.5,1,0,1
2100,2457415.5,43472,-4032.63476,3939.31113,4938.02554,-6.19592,-2.32239,-2.93241,7382.51742,0.02924,0.89841,6.28121,0.00028,2.09007,2.13992,0,20.7,-47.3,41.3,-172.3,1,0,1
2120,2457415.5,43492,-4155.78294,3892.12155,4878.44528,-6.11853,-2.3964,-3.0254,7382.70437,0.02923,0.89842,6.28119,0.00115,2.10911,2.15836,0,20.2,-47.8,40.7,-171.2,1,0,1
2140,2457415.5,43512,-4277.36131,3843.46175,4817.01789,-6.03894,-2.46941,-3.11712,7382.89359,0.02922,0.89844,6.28117,0.00201,2.12816,2.1768,0,19.6,-48.3,40,-170.1,1,0,1
2160,2457415.5,43532,-4397.32614,3793.35207,4753.76909,-5.95718,-2.54139,-3.20754,7383.08478,0.02921,0.89845,6.28115,0.00286,2.14722,2.19523,0,19.1,-48.8,39.4,-169,1,0,1
2180,2457415.5,43552,-4515.63439,3741.81333,4688.72521,-5.87329,-2.61231,-3.29663,7383.27768,0.0292,0.89846,6.28114,0.00369,2.16629,2.21365,0,18.5,-49.3,38.7,-168,1,0,1
2200,2457415.5,43572,-4632.24371,3688.8668,4621.91314,-5.7873,-2.68216,-3.38435,7383.472,0.02919,0.89847,6.28112,0.0045,2.18539,2.23208,0,17.9,-49.8,38.1,-167,1,0,1
2220,2457415.5,43592,-4747.1125,3634.5342,4553.36033,-5.69924,-2.75091,-3.47069,7383.66746,0.02917,0.89848,6.2811,0.0053,2.2045,2.2505,0,17.4,-50.3,37.4,-165.9,1,0,1
2240,2457415.5,43612,-4860.19986,3578.83767,4483.09479,-5.60916,-2.81855,-3.55562,7383.86379,0.02916,0.89849,6.28108,0.00607,2.22363,2.26893,0,16.8,-50.8,36.7,-165,1,0,1
2260,2457415.5,43632,-4971.46564,3521.79981,4411.14507,-5.51709,-2.88504,-3.63911,7384.0607,0.02914,0.8985,6.28107,0.00682,2.24279,2.28737,0,16.2,-51.3,36,-164,1,0,1
2280,2457415.5,43652,-5080.87043,3463.44362,4337.54022,-5.42307,-2.95038,-3.72113,7384.25792,0.02912,0.89851,6.28105,0.00754,2.26198,2.30582,0,15.7,-51.8,35.3,-163,1,0,1
2300,2457415.5,43672,-5188.37556,3403.7925,4262.30984,-5.32713,-3.01453,-3.80166,7384.45517,0.0291,0.89852,6.28104,0.00824,2.28119,2.32428,0,15.1,-52.3,34.6,-162.1,1,0,1
2320,2457415.5,43692,-5293.94315,3342.87027,4185.48401,-5.22932,-3.07749,-3.88067,7384.65217,0.02908,0.89853,6.28102,0.0089,2.30044,2.34276,0,14.5,-52.8,33.8,-161.2,1,0,1
2340,2457415.5,43712,-5397.53607,3280.70113,4107.09331,-5.12967,-3.13922,-3.95814,7384.84864,0.02906,0.89854,6.28101,0.00954,2.31972,2.36125,0,13.9,-53.3,33.1,-160.3,1,0,1
2360,2457415.5,43732,-5499.11797,3217.30966,4027.16881,-5.02822,-3.19972,-4.03405,7385.04431,0.02904,0.89856,6.28099,0.01013,2.33903,2.37976,0,13.3,-53.8,32.4,-159.4,1,0,1
2380,2457415.5,43752,-5598.65328,3152.72083,3945.74203,-4.92502,-3.25896,-4.10836,7385.23891,0.02902,0.89857,6.28098,0.0107,2.35838,2.39829,0,12.7,-54.2,31.6,-158.6,1,0,1
2400,2457415.5,43772,-5696.10725,3086.95995,3862.84496,-4.82009,-3.31692,-4.18107,7385.43215,0.029,0.89858,6.28097,0.01122,2.37776,2.41684,0,12.1,-54.7,30.9,-157.7,1,0,1
2420,2457415.5,43792,-5791.44589,3020.0527,3778.51002,-4.71349,-3.37359,-4.25215,7385.62379,0.02897,0.89859,6.28096,0.01171,2.39719,2.43542,0,11.5,-55.2,30.1,-156.9,1,0,1
2440,2457415.5,43812,-5884.63605,2952.02509,3692.77007,-4.60525,-3.42895,-4.32157,7385.81354,0.02895,0.8986,6.28095,0.01215,2.41666,2.45403,0,10.9,-55.7,29.3,-156.1,1,0,1
2460,2457415.5,43832,-5975.64539,2882.90348,3605.6584,-4.49542,-3.48299,-4.38932,7386.00116,0.02893,0.89861,6.28093,0.01256,2.43616,2.47266,0,10.3,-56.2,28.6,-155.3,1,0,1
2480,2457415.5,43852,-6064.44236,2812.71455,3517.2087,-4.38402,-3.53568,-4.45537,7386.18639,0.0289,0.89862,6.28092,0.01292,2.45572,2.49132,0,9.6,-56.7,27.8,-154.5,1,0,1
2500,2457415.5,43872,-6150.99629,2741.48529,3427.45506,-4.27112,-3.58702,-4.51971,7386.36897,0.02888,0.89863,6.28091,0.01324,2.47531,2.51001,0,9,-57.1,27,-153.7,1,0,1
2520,2457415.5,43892,-6235.27728,2669.243,3336.43195,-4.15674,-3.63698,-4.58231,7386.54868,0.02885,0.89864,6.28091,0.01351,2.49495,2.52874,0,8.3,-57.6,26.2,-153,1,0,1
